# Category: Lateral Thinking

"#","question","optionA","optionB","optionC","optionD","answer","level","subject","hint","explanation","status"
"107","A bakery works all night and sells nothing to the public at dawn, yet is gone by noon.","Restaurants and cafes collect the bread before sunrise","It caters one event weekly","It ships everything frozen","A school buys the whole batch","A. Restaurants and cafes collect the bread before sunrise","medium","Lateral Puzzles","His customers arrive in vans, not queues.","The bakery's output is collected before dawn by hotels and restaurants.","published"
"108","A man is paid monthly by a company that dissolved decades ago, and the check never bounces.","The brand was revived in name only","He owns its remaining shares","A trust fund still pays the old pensions","He won a historic lawsuit","C. A trust fund still pays the old pensions","hard","Lateral Puzzles","The pension outlived the firm.","An endowment set up long ago still honors pensions of a long-closed company.","published"
"109","A barber shop with a single chair runs a two-month waiting list, and the barber never hurries.","He only cuts famous heads","One chair, appointments only, craft over speed","The shop doubles as a museum","He sharpens razors between clients","B. One chair, appointments only, craft over speed","easy","Lateral Puzzles","The queue is the point.","A one-chair barber with a booked-out list proves patience is the luxury.","published"
"110","A man reads one page aloud in the town square every August, and the crowd recites the rest from memory.","He reads the harvest rules","The town reads its founding charter aloud each year","It is the opening of the school year","It is a famous novel's first page","B. The town reads its founding charter aloud each year","medium","Lateral Puzzles","Everyone knows the charter by heart.","The annual reading of the town's founding document has the crowd completing every line.","published"
"111","A woman runs the world's smallest post office from her own kitchen.","Her kitchen counter is the village post office","She sells stamps by mail only","Her porch houses a parcel locker","The post box is her garden gate","A. Her kitchen counter is the village post office","medium","Lateral Puzzles","The kettle and the franking machine share a table.","A village post office operates from a kitchen counter, stamps beside the teapot.","published"
"112","A man has painted the same harbor every day for forty years, and collectors insist no two are alike.","He adds one new boat each time","He paints from different rooftops","He paints the harbor's exact light, never twice the same","He paints from memory with variations","C. He paints the harbor's exact light, never twice the same","medium","Lateral Puzzles","No dawn repeats itself.","Daily harbor paintings capture light that never repeats, so no two match.","published"
"113","A man's phone number is one digit away from the town's pizzeria, and he spends his evenings reading menus to strangers.","Wrong-number callers get a kindly menu recital","He works for the pizzeria from home","He runs a food hotline","He is the pizzeria's retired owner","A. Wrong-number callers get a kindly menu recital","easy","Lateral Puzzles","Hungry dialers never feel brushed off.","One digit off the pizzeria, he kindly recites the menu to every wrong number.","published"
"114","A woman's half-acre farm grows a crop worth more than gold by weight.","Truffles","Saffron crocus threads","Wasabi","Vanilla orchids","B. Saffron crocus threads","medium","Lateral Puzzles","Three red strands per flower, all by hand.","Saffron is hand-picked thread by thread, which is why it outweighs gold in price.","published"
"115","A man's workshop holds one chair no one may ever sit in, made by his great-grandfather for a king who never came.","It is a museum loan","The seat holds the family records","It is too fragile to use","The unfinished throne waits for a royal visit that never happened","D. The unfinished throne waits for a royal visit that never happened","hard","Lateral Puzzles","The invitation expired a century ago.","A throne built for a canceled royal visit stands untouched through the generations.","published"
"116","A woman delivers the village mail with no street names and never misplaces a letter.","She delivers by house color","The letters carry landmarks","She addresses by memory of every house and face","She uses GPS coordinates","C. She addresses by memory of every house and face","medium","Lateral Puzzles","Her map is made of people.","In an unnamed-lane village, the postwoman's memory of every household is the address system.","published"
"117","A man's studio is a graveyard of broken teacups, and his customers weep with joy at his invoices.","He restores porcelain dolls","He repairs pottery with seams of gold","He makes mosaic garden stones","He runs a smashing therapy room","B. He repairs pottery with seams of gold","hard","Lateral Puzzles","The cracks are the decoration.","The kintsugi artist mends broken ceramics with gold, making the break the beauty.","published"
"118","A man opens his stall one day a week and outsells every daily shop on the street.","He sells bread after church","His antiques stall trades only on market day","He runs a Sunday book swap","He opens only for festivals","B. His antiques stall trades only on market day","easy","Lateral Puzzles","Six days of longing, one day of trading.","The one-day-a-week antiques stall turns scarcity into the whole business plan.","published"
"119","A woman's bookshop shelved a romance beside a horror novel on purpose, and the pairing sells out.","She shelves by cover color","She pairs books as reading challenges","She sorts novels by mood, not genre","She stocks only staff picks","C. She sorts novels by mood, not genre","medium","Lateral Puzzles","Ask for wistful, not for mystery.","A mood-based bookshop files books by feeling, and readers love the surprises.","published"
"120","A man is the last living maker of a certain violin varnish, measuring the secret by eye and by smell.","He carves scrolls for master luthiers","He is a museum conservator","He tunes instruments for soloists","He keeps a varnish recipe no one else learned","D. He keeps a varnish recipe no one else learned","hard","Lateral Puzzles","The recipe died everywhere but his hands.","The final keeper of an old varnish formula measures every ingredient by instinct.","published"
"121","A man repairs one particular toy line, and grown adults queue holding their childhoods in shoeboxes.","He rebuilds model villages","He restores vintage toy trains","He fixes dollhouses","He reupholsters rocking horses","B. He restores vintage toy trains","medium","Lateral Puzzles","The little engine comes home for Christmas.","The vintage toy train restorer reunites adults with the engines of their childhood.","published"
"122","A winemaker plays music in the cellar all winter, and the medals on his bottles multiply.","He plays music to the fermenting vats","He hires musicians for tastings","He names wines after songs","He broadcasts concerts to the vines","A. He plays music to the fermenting vats","medium","Lateral Puzzles","The yeast may not listen, but he swears it does.","Cellar music is his fermentation ritual, and his bottles keep winning medals.","published"
"123","A village saves its glass bottles all year for one weekend, and the result glows at sunset.","The glass becomes a lighthouse lens","They hold a bottle-kiln firing","The collection builds the chapel's glass wall","The bottles fund the school roof","C. The collection builds the chapel's glass wall","hard","Lateral Puzzles","Colored glass becomes a wall of light.","The village bottle drive builds stained-glass panels for the little chapel.","published"
"124","A cafe charges by the minute, and freelancers work faster than they ever have.","A meeting room bus","A pay-per-minute cafe","A silent coworking loft","A nap rental shop","B. A pay-per-minute cafe","medium","Lateral Puzzles","The clock is the menu.","The pay-per-minute cafe turns lingering into a pricing plan, and work gets done.","published"
"125","What does the kintsugi artist use to mend a broken bowl?","","","","","gold","expert","Lateral Puzzles","The crack becomes a golden river.","Kintsugi joins broken pottery with gold so the mending shines.","published"
"126","What crop fills the small farm, ounce for ounce dearer than gold?","","","","","saffron","expert","Lateral Puzzles","Three red strands per flower, picked by hand.","Saffron's hand-picked threads make it the world's priciest harvest.","published"
"127","What does the village collect all year for the chapel's glowing wall?","","","","","glass bottles","expert","Lateral Puzzles","Colored glass, one weekend, one wall.","The annual bottle drive supplies the stained-glass panels of the chapel.","published"
"128","What does the garden man give the 7:12 train every single morning?","","","","","a wave","expert","Lateral Puzzles","One arm raised, one carriage waving back.","His morning wave to the passing train became a town ritual.","published"
"129","By what single quality does the bookshop file its novels?","","","","","mood","expert","Lateral Puzzles","Ask for wistful, not for mystery.","Shelves are sorted by feeling, so every browse is an adventure.","published"
"130","A florist sells exactly one kind of flower, and couples book him a year in advance.","He sells paper flowers","He is a single-flower specialist","He is a funeral florist","He imports one bloom per season","B. He is a single-flower specialist","medium","Lateral Puzzles","Peonies wait for no one.","By mastering a single prized bloom, the specialist becomes the wedding florist of choice.","published"
"131","A man waits in line for a living, and his clients arrive only when the doors open.","He is a professional line waiter","He is a ticket reseller","He is a queue marshal","He reviews waiting times","A. He is a professional line waiter","easy","Lateral Puzzles","His patience is billed by the hour.","Professional line-standers hold places for clients at product launches and hearings.","published"
"132","A woman drives all day with no radio, no music, and no phone, and she is perfectly cheerful about it.","She is a driving test examiner","She is a long-haul courier","She is a road safety auditor","She tests prototype engines","A. She is a driving test examiner","hard","Lateral Puzzles","Her passenger's test depends on her silence.","Driving examiners work in strict quiet, all day, every day.","published"
"133","A tailor never measures a single client, and his suits fit perfectly.","He uses a body scanner","He copies old garments","His memory replaces the tape measure","He cuts loose fits only","C. His memory replaces the tape measure","medium","Lateral Puzzles","One look, and the numbers are known.","The veteran tailor reads every measurement by eye, never touching the tape.","published"
"134","A man flips one switch and a whole town square lights up; he is not an electrician.","He is the power station controller","He switches on the festival lights","He triggers the streetlamps timer","He lights the lighthouse? lighthouse references fine here","B. He switches on the festival lights","easy","Lateral Puzzles","The big red button is a ceremony.","The honored guest throws the switch at the town's Christmas light ceremony.","published"
"135","A woman pays a farmer to leave a whole field uncut all summer.","She reserves the hay early","She funds a wildflower meadow for bees","She lost a bet with the farmer","She is filming a documentary","B. She funds a wildflower meadow for bees","medium","Lateral Puzzles","The weeds are the entire point.","Paying farmers to skip the cut turns fields into pollinator meadows.","published"
"136","A man walks construction sites with nothing but pencils, and every builder defers to him.","He is the architect checking the build","He is the quantity surveyor","He is the safety officer","He is the client's nephew","A. He is the architect checking the build","medium","Lateral Puzzles","His pencil corrects ten-million-dollar mistakes.","The architect's site visits and pencil marks keep the build true to the plans.","published"
"137","A man receives a standing ovation every night and never once takes a bow.","He is the stage manager on the headset","He runs the box office","He conducts from the pit","He is the prompter under the stage","A. He is the stage manager on the headset","hard","Lateral Puzzles","Cue by cue, he ran the whole show in silence.","The stage manager calls every cue; the applause lands on the cast.","published"
"138","A woman's tray holds thirty identical little cakes, each bound for a different wedding.","They are cake toppers","They are samples for wedding tastings","They are anniversary minis","They feed the tasting events","B. They are samples for wedding tastings","medium","Lateral Puzzles","Every couple tastes before they commit.","The patisserie bakes miniature tasting cakes for each couple deciding on their wedding cake.","published"
"139","A man's library lends out things you would rather not buy and rarely need twice.","He runs a tool library","He rents formal wear","He stocks party equipment","He lends camping gear only","A. He runs a tool library","medium","Lateral Puzzles","Borrow a sander, return it Sunday.","The tool library lends drills and sanders the way libraries lend novels.","published"
"140","A man spends his workdays falling off swings, sliding down slides, and filing reports about it.","He is a playground equipment tester","He is a children's entertainer","He is a school inspector","He is a stunt double for kids? silly but fine","A. He is a playground equipment tester","easy","Lateral Puzzles","Safety standards need a certified grown-up on the slide.","Playground testers stress-test every swing and slide before children arrive.","published"
"141","A woman rakes the beach flat every dawn, and the hotels pay her quietly.","She is a sand sculptor","She surveys the tide line","She is a professional beach cleaner","She is a turtle nest warden","C. She is a professional beach cleaner","medium","Lateral Puzzles","The sand looks untouched because she was there.","Beach cleaners rake away night's litter so guests find flawless sand.","published"
"142","A man is the only person in town welcome to knock on doors before six in the morning.","He is the milkman","He is the baker's roundsman","He is the newspaper courier","He is the street sweeper","A. He is the milkman","medium","Lateral Puzzles","The clink of bottles is his alarm.","The dawn milk round is the one early knock every household forgives.","published"
"143","A man's repair shop fixes nothing made after 1980, and his youngest customer is sixty.","He mends vinyl players only","He repairs film cameras","He restores vintage radios","He services old tractors","C. He restores vintage radios","medium","Lateral Puzzles","Valves glow; his bench never empties.","The vintage radio restorer keeps valve sets singing for listeners his own age.","published"
"144","A man buys unopened suitcases and never travels; each one holds somebody's unlived week.","He is a museum curator","He imports vintage luggage","He writes lost-property fiction","He runs an unclaimed baggage store","D. He runs an unclaimed baggage store","hard","Lateral Puzzles","Airports auction what no one claims.","Unclaimed baggage stores buy and resell luggage airlines could never return.","published"
"145","A man's farm delivers bleating landscaping crews by appointment, and gardens thank them by disappearing their weeds.","He sells organic fertilizer","He rents out goats for brush clearing","He runs a mobile petting zoo","He trains sheepdogs for hire","B. He rents out goats for brush clearing","medium","Lateral Puzzles","The crew eats the job site clean.","Rentable goats clear overgrown lots, eating brambles no mower would touch.","published"
"146","A man wears a giant foam suit to work and receives several hundred hugs per shift.","He is a theme park character actor","He is a team mascot performer","He runs a hug therapy clinic","He promotes a breakfast cereal","B. He is a team mascot performer","easy","Lateral Puzzles","Under the suit, it is cardio.","Mascot performers endure heat, hugs, and hero worship for the home crowd.","published"
"147","A bakery bakes one extra loaf every day and hangs it on the garden gate, and no one ever mentions it.","It is an offering for birds","It is there for whoever needs bread that day","It cools there before delivery","It marks the day's specials","B. It is there for whoever needs bread that day","hard","Lateral Puzzles","The quietest charity has no sign.","The gate loaf feeds any hungry passerby, asked for by no one and never discussed.","published"
"148","A man teaches swimming with not a drop of water in the room.","He teaches open-water safety theory","He drills breath and stroke on land first","He runs a swim-equipment shop","He coaches via video analysis only","B. He drills breath and stroke on land first","medium","Lateral Puzzles","Panic is beaten before the pool.","Dry-land breath and body drills prepare nervous swimmers before water ever enters the lesson.","published"
"149","A man tastes his employer's product for a living, and he does not even swallow.","He is a baby food tester","He is a wine judge","He is a pet food quality taster","He develops chewing gum","C. He is a pet food quality taster","medium","Lateral Puzzles","Palette checked, spittoon ready.","Pet food quality testers sample for texture and flavor, spitting every bite.","published"
"150","What do the rentable goats clear from the city's overgrown lots?","","","","","weeds","expert","Lateral Puzzles","The crew eats the whole job.","Hired goats devour brambles and weeds too tough for any mower.","published"
"151","What hangs on the kind baker's gate every single morning?","","","","","a loaf of bread","expert","Lateral Puzzles","Take it if today is hard.","The daily gate loaf waits silently for whoever needs it.","published"
"152","A man's vegetable stall sells only the ugliest produce, and the best restaurants queue for it.","Chefs prize ugly vegetables for their flavor","The stall is a museum exhibit","He sells cheaper produce to tourists","He paints the vegetables to look worse","A. Chefs prize ugly vegetables for their flavor","medium","Lateral Puzzles","Misshapen means ripe, sweet, and honest.","Chefs know the knobbliest tomatoes taste best, so the ugly stall gets first call.","published"
"153","A man fenced his whole allotment with old doors, and now every plot on the lane looks the same.","He built his fence from salvaged doors","The neighbors copied his paint color","He runs a door recycling business","It is a council heritage rule","A. He built his fence from salvaged doors","medium","Lateral Puzzles","One skip dive, one lane-wide trend.","His salvaged-door fence was so handsome the whole allotment copied it.","published"
"154","What do the artists buy from the shop that sells nothing that works?","","","","","broken things","expert","Lateral Puzzles","Damaged is exactly the point.","Sculptors salvage the shop's broken stock for their public art.","published"
"155","Every night a man sets two alarms: one to wake him, and one to save his life.","The second is a power-cut backup","One wakes his wife gently","The second reminds him of his medication","One is for the dog's walk","C. The second reminds him of his medication","medium","Situation Puzzles","His life depends on a daily dose.","The second alarm tells a diabetic man it is time for his insulin.","published"
"156","A child calls the police to report a theft, and the laughing officers still open a case.","The stolen snowman","The missing tricycle","A taken parking space","A borrowed bicycle","A. The stolen snowman","easy","Situation Puzzles","The thief left only a scarf and a carrot.","A child's garden snowman was carted off, and the police kindly logged it.","published"
"157","A woman arrives at the airport two hours early, checks in, and goes home without flying.","She missed her gate","She works airside, and this is her commute","Her flight was cancelled","She was flying standby","B. She works airside, and this is her commute","medium","Situation Puzzles","Her workplace is behind security.","Airport staff pass through the same check-in and security just to reach their shifts.","published"
"158","A man thanks the rain for completely ruining his outdoor wedding.","He is a farmer whose crops were saved","The venue refunded everything","The photos improved indoors","The guests stayed longer","A. He is a farmer whose crops were saved","medium","Situation Puzzles","His fields were burning one county over.","The downpour that soaked his wedding ended the drought threatening his harvest.","published"
"159","A woman's house has no street number, yet the mail always finds her.","She is off the grid","She lives on a houseboat","Her village has no addresses","The postman is her nephew","B. She lives on a houseboat","easy","Situation Puzzles","Her door floats at the end of a jetty.","Houseboats receive mail via the marina, no street address required.","published"
"160","A man is paid to watch a stranger sleep all night, and she is grateful for it.","He is her night nurse","He is a hotel tester","He is a sleep clinic technician","He is a documentary maker","C. He is a sleep clinic technician","medium","Situation Puzzles","Wires, electrodes, and a long night shift.","Sleep study technicians monitor patients through the night to diagnose disorders.","published"
"161","A shepherd counts his flock at dusk, comes up one short, and smiles about it.","A lamb was born in the hills","He sold one today","A ewe wandered to the neighbor","He miscounted at dawn","A. A lamb was born in the hills","medium","Situation Puzzles","The missing ewe can be found in the barn.","The ewe stayed behind to give birth, so the flock is one richer.","published"
"162","A farmer wins first prize for a crop he never planted, tended, or even noticed.","He inherited a neighbor's orchard","A prize pumpkin grew from his compost","He won for a weed variety","His fallow field hosted a contest","B. A prize pumpkin grew from his compost","hard","Situation Puzzles","The seed rode in on the kitchen scraps.","A stray seed in the compost heap grew into his prize-winning pumpkin.","published"
"163","A woman carries an empty picture frame on every mountain hike.","She carries it for a friend","She composes landscape photos through it","She frames pressed flowers","It is her walking stick handle","B. She composes landscape photos through it","medium","Situation Puzzles","The frame never holds glass or art.","Artists use an empty frame to hunt the perfect composition before shooting.","published"
"164","A man reads a map upside down, held above his head, and navigates flawlessly.","It is a mirrored driving map","He is training astronauts","The map is of the southern hemisphere","It is a star chart for the night sky","D. It is a star chart for the night sky","hard","Situation Puzzles","The stars are the roads.","Star charts are held overhead; the sky is the only map that works that way.","published"
"165","A station clock runs five minutes fast, everyone knows it, and nobody wants it fixed.","It saves the station electricity","It stops people missing their trains","It confuses pickpockets","It honors a historical error","B. It stops people missing their trains","easy","Situation Puzzles","Five fake minutes, zero missed trains.","The deliberately fast clock hurries stragglers onto their platforms in time.","published"
"166","A woman wears two watches set to different times, every single day.","One is for a different work shift","One shows the time in her hometown","One counts seconds for her job","One is broken and sentimental","B. One shows the time in her hometown","medium","Situation Puzzles","Her heart is several time zones away.","An expat wears her hometown hour on one wrist and local time on the other.","published"
"167","A man wins a prize for a house he will never live in, and he is delighted.","He designed it for a film","He restored it for a museum","He built the show home that sold first","He inherited and sold it","C. He built the show home that sold first","hard","Situation Puzzles","The keys went to the buyers, the trophy to him.","Show home builders win industry prizes for houses made to be sold furnished.","published"
"168","A diver surfaces with no fish at all, and the fish market pays her anyway.","She photographs reef health for them","She trains their apprentices","She repairs their cages","She maps their oyster beds","A. She photographs reef health for them","medium","Situation Puzzles","Her catch is data, not dinner.","The market's researchers pay divers to survey fish stocks and reef condition.","published"
"169","A street is repainted every single week, and the residents celebrate each repainting.","The paint keeps getting vandalized","The council tests road paints","It is a working film set","It is an annual carnival tradition","C. It is a working film set","medium","Situation Puzzles","The directors call action, not the mayor.","A movie-set street is repainted weekly to match each new production's script.","published"
"170","A man crosses the city every dusk carrying a violin case that has never held a violin.","It holds a hidden umbrella","His lunch and papers do","His sharpening tools ride inside","It carries sheet money for the market","C. His sharpening tools ride inside","hard","Situation Puzzles","Knives, not bows, ride in the velvet.","The itinerant knife-sharpener carries his whetstones in a battered violin case.","published"
"171","Every winter a man builds a small bridge that vanishes by summer, and everyone relies on it.","It is a snow bridge on a trail","The stream floods only in the wet months","The bridge is stolen each year","He rebuilds it for the festival","B. The stream floods only in the wet months","hard","Situation Puzzles","In August you would not know a stream was there.","The seasonal stream dries in summer, so its footbridge is rebuilt each winter.","published"
"172","A pilot publicly congratulates the passenger who delayed the flight by forty minutes.","She smelled smoke and forced a check","She filmed a suspicious bag","She argued over baggage","She refused her seat upgrade","A. She smelled smoke and forced a check","hard","Situation Puzzles","Forty minutes on the ground, a catastrophe skipped.","The passenger who reported a smoke smell got the leak found before takeoff.","published"
"173","What does the second nightly alarm remind the man to take?","","","","","insulin","expert","Situation Puzzles","A missed dose is a midnight emergency.","The alarm guards a diabetic's nightly insulin schedule.","published"
"174","What did the child solemnly report stolen to the police?","","","","","a snowman","expert","Situation Puzzles","Two eyes, a carrot, and a scarf, gone.","The vanished snowman was reported, logged, and gently mourned.","published"
"175","Why did the shepherd smile when the evening count came up one short?","","","","","a lamb was being born","expert","Situation Puzzles","The barn knew where the ewe was.","The absent ewe was busy delivering the flock's newest lamb.","published"
"176","What did the farmer never plant, yet win a first-prize rosette for?","","","","","a pumpkin","expert","Situation Puzzles","It volunteered from the compost heap.","A self-seeded compost pumpkin took the agricultural show by storm.","published"
"177","What ruined the farmer's wedding and saved his entire year?","","","","","the storm","expert","Situation Puzzles","The same clouds filled his ditches.","The storm that drowned the ceremony ended the drought in his fields.","published"
"178","A man thanks a stranger for knocking him flat in a crowded square, shaking his hand on the ground.","The shove cleared him of a falling icicle","They are old friends roughhousing","It was a film stunt","He dropped his wallet and fell reaching for it","A. The shove cleared him of a falling icicle","hard","Situation Puzzles","Look up, not at the two men.","The stranger's tackle carried him clear of an icicle shearing off the eaves above.","published"
"179","A woman deliberately loses every arm-wrestle at the family reunion, and the trophy keeps changing hands.","She bets on the outsiders","She keeps her grandmother's winning streak alive","She nurses a wrist injury","She is training the youngsters","B. She keeps her grandmother's winning streak alive","medium","Situation Puzzles","One old champion never lifts a finger.","The real champion throws each match so her grandmother keeps the family trophy.","published"
"180","A man thanks the school bus driver every morning though he never once boards the bus.","The bus carries his daughter to school","The driver wakes him daily","The driver found his keys","He owns the bus company","A. The bus carries his daughter to school","medium","Situation Puzzles","His treasure rides inside every morning.","The grateful father waves off the bus that delivers his daughter safely to school.","published"
"181","A man reads only the final page of every novel first, and literature professors respect him for it.","He reviews books for radio","He is a speed reader","He writes endings for a studio","He edits novels for a living","D. He edits novels for a living","hard","Situation Puzzles","The ending is where his work begins.","A novel editor reads the ending first to know where every chapter must land.","published"
"182","A choir performs to a hall of empty seats and calls the night a triumph.","It was a live album recording session","The tour was cancelled","It was a rehearsal with a difference","The audience watched by broadcast","A. It was a live album recording session","easy","Situation Puzzles","The microphones were the audience.","The empty hall belonged to the recording; millions will hear it later.","published"
"183","A man delivers a newspaper to a boarded-up house whose owner died years ago, and the family keeps paying.","The paper keeps the house looking lived-in","The dog collects it","It is a heritage requirement","The owner reads abroad","A. The paper keeps the house looking lived-in","hard","Situation Puzzles","Burglars read porches, not probate records.","The daily paper makes the empty house look occupied and deters break-ins.","published"
"184","A woman crosses the whole city every Saturday to cook in a stranger's kitchen, unpaid and cheerful.","She caters one loyal client","She tests recipes for a friend","She volunteers at a community kitchen","She runs a supper club","C. She volunteers at a community kitchen","medium","Situation Puzzles","Hundreds eat from that one kitchen.","The community kitchen turns her Saturday into hundreds of served meals.","published"
"185","A man photographs the same row of parked cars every single morning, and his neighbors bless him.","His daily photos settle every parking dispute","He runs a car wash round","He inspects for leaks","He sells the prints","A. His daily photos settle every parking dispute","medium","Situation Puzzles","Timestamped proof ends the shouting.","His timestamped photos show exactly who blocked whose driveway, and when.","published"
"186","A man sails the same lake every Sunday, never fishing, swimming, or racing, and the town depends on it.","He maps the fish stocks","He is the unpaid race starter","He records the lake level for the water authority","He patrols for swimmers","C. He records the lake level for the water authority","hard","Situation Puzzles","His gauge tells the dam when to open.","His weekly readings feed the reservoir data the whole valley drinks.","published"
"187","A man writes glowing letters about one specific employee to every hotel he stays in, and the letters get framed.","He is a hotel quality auditor","He trains receptionists","He runs a fan newsletter","He collects stationery","A. He is a hotel quality auditor","hard","Situation Puzzles","The praise is really a graded exam.","The auditor's letters score each hotel's staff for the chain's head office.","published"
"188","A man is thanked by surgeons every fortnight and has never studied a day of medicine.","He cleans the operating theaters","He donates platelets at the blood bank","He sews surgical drapes","He drives the organ courier","B. He donates platelets at the blood bank","easy","Situation Puzzles","His arm does the donating.","Regular platelet donors give surgical patients the transfusions that save them.","published"
"189","A woman's shop opens only when it rains, and business has never been better.","She sells umbrellas at the station","She is a roofer; storms are her marketing","She fixes car leaks","She chases storms as a photographer","B. She is a roofer; storms are her marketing","hard","Situation Puzzles","Dripping ceilings ring her bell.","Every downpour reveals new leaks, and the roofer's phone starts ringing.","published"
"190","A man's restaurant serves exactly one table per night, and the waiting list is months long.","He runs a chef's test kitchen","He caters one loyal client","His home is a one-table supper club","The rest is a film set","C. His home is a one-table supper club","medium","Situation Puzzles","Book the chef, get the whole room.","The supper club hosts a single party nightly, menu written that morning.","published"
"191","A woman mows her lawn at midnight, legally, and the neighbors sleep right through it.","The lawn is a communal green","She is a night-shift nurse just home","Her mower is nearly silent","She times it to the dew","B. She is a night-shift nurse just home","medium","Situation Puzzles","Her workday ends when the town sleeps.","The night nurse unwinds with midnight mowing on her quiet street.","published"
"192","A man sends flowers to the driver who dented his parked car, with a note of real thanks.","The driver left insurance and a note","They became friends after","The swerve had missed a child","The flowers were delivered by mistake","C. The swerve had missed a child","hard","Situation Puzzles","Read the accident report before judging the flowers.","The driver swerved around a child; the parked car paid a small, glad price.","published"
"193","A man's class graduates every month, his students are adults, and the classroom has an engine.","He runs a motorcycle course","He is a driving instructor","He teaches engine repair","He is a bus depot trainer","B. He is a driving instructor","easy","Situation Puzzles","Every lesson ends with a license.","The driving instructor's rolling classroom graduates a new driver every few weeks.","published"
"194","A man walks every supermarket aisle with a scanner gun, and he is not shopping.","He is a mystery shopper","He manages the warehouse","He audits shelf prices against the system","He restocks the freezers","C. He audits shelf prices against the system","medium","Situation Puzzles","One wrong label, one corrected bill.","Price auditors scan shelves to catch labels that do not match the till.","published"
"195","A woman pays the ferry for two but boards alone, and she is neither mourning nor confused.","The second fare is her bicycle","The second ticket is for the return","She books the seat beside her free","She ships a crate below deck","A. The second fare is her bicycle","medium","Situation Puzzles","The companion has two wheels and a bell.","Ferries charge a full passenger fare for bicycles, and hers rides up the ramp.","published"
"196","What did the stranger's sudden shove save the man from?","","","","","the falling roof ice","expert","Situation Puzzles","The eaves were shearing above them.","His tackle pulled the man from under the collapsing roof ice.","published"
"197","Whose winning streak does the arm-wrestling champion quietly keep alive?","","","","","her grandmother","expert","Situation Puzzles","The oldest hands still hold the title.","She throws every match so grandma remains the undisputed family champion.","published"
"198","What precious cargo does the never-boarding man wave off every morning?","","","","","his daughter","expert","Situation Puzzles","The school bus carries his whole heart.","His daughter rides that bus, so the driver gets the thanks.","published"
"199","What does the Sunday sailor log for the water authority?","","","","","the water level","expert","Situation Puzzles","One row, one reading, one valley's water.","His weekly gauge reading feeds the reservoir's release decisions.","published"
"200","What does the roofer's shop sell on the first sunny day after the storms?","","","","","nothing","expert","Situation Puzzles","Everyone is on a roof, not in the shop.","Fine weather empties the roofer's books, so the shop stays shut.","published"
"201","What did the grateful flower-sender's parked car receive?","","","","","a dented bumper","expert","Situation Puzzles","Small price for a child's safety.","The swerving driver clipped his bumper while missing a child in the road.","published"
"202","What rides the ferry at the second full fare?","","","","","a bicycle","expert","Situation Puzzles","Two wheels pay as passengers.","The ferry counts a bicycle as a second passenger, fare and all.","published"
"203","A man reads the restaurant menu upside down from across the table, and the waiters bring him their new menus first.","He is testing the printers","He is a slow reader in good company","He collects menus as a hobby","He proofreads menus professionally","D. He proofreads menus professionally","hard","Situation Puzzles","Errors jump out at him from any angle.","The professional menu proofreader spots a typo even upside down at ten paces.","published"
"204","A man forecasts the weather better than the television, using fifty-year-old newspapers.","He farms by historical weather patterns","He archives old dailies for a library","He verifies almanac claims","He predicts by swallows and moss","A. He farms by historical weather patterns","medium","Situation Puzzles","The old papers hold the rhythm of his valley's seasons.","Reading decades of past weather taught him his valley's patterns better than any forecast.","published"
"205","A man boards a train that never stops at his station, and does so every single day.","He is the guard checking tickets","He rides to the depot and walks back","His station is a request stop; he signals the driver","He boards at the previous stop illegally","C. His station is a request stop; he signals the driver","hard","Situation Puzzles","One raised arm makes the schedule bend.","Rural request stops halt the train for anyone standing visibly at the platform.","published"
"206","A man's bookshelf holds two hundred identical books he has never once read.","They are the novels he wrote","He sells them by mail","He binds blank books himself","He won them in a bet","A. They are the novels he wrote","easy","Situation Puzzles","His name is on every spine.","Authors receive crates of their own copies, and they rarely re-read them.","published"
"207","A teacher's classroom is full of sound sleepers, and he could not be happier.","It is a sleep clinic study","The students are babies; the parents take the notes","He teaches relaxation to shift workers","It is a meditation retreat","B. The students are babies; the parents take the notes","medium","Situation Puzzles","The napping students are the syllabus.","Infant sleep classes have babies dozing through the lesson while parents learn.","published"
"208","A man's shop sells nothing a right-handed person needs, and left-handers cross the county for it.","He sells mirrors for handwriting practice","He repairs left-handed instruments","Every tool in the shop is left-handed","He runs a left-handed scholarship","C. Every tool in the shop is left-handed","medium","Situation Puzzles","Scissors are just the beginning.","The left-hander's shop stocks scissors, notebooks, and guitars that finally fit.","published"
"209","A painter signs his work in a place no gallery will ever hang.","He signs the undersides of piers","His signature hides inside every water tower","He paints signatures on cave walls","His initials ride on weather balloons","B. His signature hides inside every water tower","medium","Situation Puzzles","Climb the tank, look down the hatch.","The water tower painter initials each tank where only inspectors ever climb.","published"
"210","A man waters his garden from a machine that exists to keep his house dry.","He reuses his dehumidifier's water","He melts snow off the shed","He recycles the bathwater","He collects rain in barrels","A. He reuses his dehumidifier's water","easy","Situation Puzzles","The damp basement waters the tomatoes.","The dehumidifier's collected water becomes the garden's summer drinks.","published"
"211","A man repairs the town's bicycles free of charge every single spring.","He refurbishes bikes to sell","He runs the annual free bike safety check","He trains apprentice mechanics","He collects scrap frames","B. He runs the annual free bike safety check","easy","Situation Puzzles","One oily weekend, a town on two wheels.","Each spring his free check-up clinic sends the whole town safely riding.","published"
